Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,Interaction_Coordinates
2,-71.8469,Tx-R-R-T-T-R-R-Rx,8,"1 -6 1, -0.710935 -7.40635 0.99999, -2.75897 -5.72291 0.999978, -3.37383 -6.2283 0.999976, -3.50558 -6.3366 0.999975, -5.15072 -7.68887 0.999968, -3.80811 -8.79234 0.999985, -5.08725 -9.84364 1"
2,-72.0639,Tx-R-D-T-T-Rx,6,"1 -6 1, -5.35076 -7.59027 1.0004, -5.60481 -7.52665 1.00036, -5.5907 -7.58982 1.00035, -5.15074 -9.55941 1.00004, -5.08725 -9.84364 1"
2,-72.3868,Tx-D-R-T-T-Rx,6,"1 -6 1, -5.60481 -7.52665 1, -5.61647 -7.5766 1, -5.60469 -7.62707 1, -5.15074 -9.57167 1, -5.08725 -9.84364 1"
3,-54.14,Tx-D-T-T-Rx,5,"1 -6 1, -5.60166 -7.28516 1, -5.48078 -7.59004 1, -5.15072 -8.42251 1, -4.58725 -9.84364 1"
3,-59.8653,Tx-D-R-Rx,4,"1 -6 1, -5.16344 -7.59025 1.00181, -5.01171 -6.3366 1.00133, -4.58725 -9.84364 1"
3,-60.7018,Tx-D-R-R-Rx,5,"1 -6 1, -5.16344 -7.59025 1.00189, -5.02416 -6.3366 1.00143, -4.61089 -10.0564 1.00008, -4.58725 -9.84364 1"
3,-60.7799,Tx-D-T-T-R-Rx,6,"1 -6 1, -5.60166 -7.28516 1, -5.49889 -7.59001 1, -5.15072 -8.62276 1, -4.66319 -10.0689 1, -4.58725 -9.84364 1"
3,-61.199,Tx-R-D-T-R-T-R-Rx,8,"1 -6 1, -5.57273 -3.79919 0.926225, -5.48021 -3.76821 0.925186, -3.4811 -7.63704 0.969707, -3.35414 -7.88272 0.972534, -3.80811 -8.76126 0.982645, -4.47732 -10.0564 0.997551, -4.58725 -9.84364 1"
3,-62.5882,Tx-R-D-R-Rx,5,"1 -6 1, -3.07518 -7.41959 0.999997, -3.11275 -7.40651 0.999997, -3.45743 -6.3366 0.999996, -4.58725 -9.84364 1"
3,-62.9574,Tx-R-D-T-T-Rx,6,"1 -6 1, -5.35076 -7.59027 1.00042, -5.60481 -7.52665 1.00038, -5.57706 -7.58985 1.00037, -5.15072 -8.56063 1.00021, -4.58725 -9.84364 1"
3,-63.2277,Tx-D-T-T-Rx,5,"1 -6 1, -5.60404 -7.52555 1.00021, -5.57583 -7.58985 1.00021, -5.15072 -8.55904 1.00012, -4.58725 -9.84364 1"
3,-63.4304,Tx-R-D-R-Rx,5,"1 -6 1, -5.57273 -3.79747 0.901263, -5.48316 -3.76745 0.899917, -3.80806 -7.91352 0.968235, -4.58725 -9.84364 1"
3,-63.8786,Tx-R-D-R-R-Rx,6,"1 -6 1, -3.07518 -7.41959 0.999997, -3.11275 -7.40651 0.999997, -3.42811 -6.3366 0.999996, -4.52454 -10.0564 1, -4.58725 -9.84364 1"
3,-64.1554,Tx-R-D-R-R-R-Rx,7,"1 -6 1, -3.07437 -7.41959 1.00001, -3.11331 -7.40602 1.00001, -3.66656 -6.3366 1.00001, -5.15079 -9.20554 1.00002, -4.70385 -10.0689 1, -4.58725 -9.84364 1"
3,-64.9835,Tx-R-D-R-R-Rx,6,"1 -6 1, -3.07345 -7.41959 1.00002, -3.11391 -7.40549 1.00002, -3.7213 -6.3366 1.00001, -5.15071 -8.85206 1, -4.58725 -9.84364 1"
3,-65.0903,Tx-R-D-R-Rx,5,"1 -6 1, -3.07345 -7.41959 1.00003, -3.11391 -7.40549 1.00003, -3.45806 -6.3366 1.00002, -4.58725 -9.84364 1"
